human_marker_gene,human_cluster,mouse_region,mean_expr_z,pct_expr
LHb.4: Sez6l,LHb.4,Oval/Medial,0.374883,15.919663
LHb.4: Hs3st4,LHb.4,Hbx,-1.072984,3.6585383
LHb.4: Hs3st4,LHb.4,Lateral,0.8380907,11.176471
LHb.4: Hs3st4,LHb.4,Marginal,-0.9117851,3.0966372
LHb.4: Hs3st4,LHb.4,Oval/Medial,1.1466783,10.52004
LHb.4: Epha3,LHb.4,Hbx,0.11239561,13.066183
LHb.4: Epha3,LHb.4,Lateral,0.2850906,11.862745
LHb.4: Epha3,LHb.4,Marginal,-1.582035,4.1644397
LHb.4: Epha3,LHb.4,Oval/Medial,1.1845487,14.10525
LHb.4: Rph3a,LHb.4,Hbx,-0.85029685,1.7421603
LHb.4: Rph3a,LHb.4,Lateral,-0.748784,2.2549021
LHb.4: Rph3a,LHb.4,Marginal,-0.04830072,3.6839287
LHb.4: Rph3a,LHb.4,Oval/Medial,1.6473818,10.136221
LHb.5: Sema3d,LHb.5,Hbx,1.7157563,40.853817
LHb.5: Sema3d,LHb.5,Lateral,-0.3788412,8.823529
LHb.5: Sema3d,LHb.5,Marginal,-0.5710757,4.644951
LHb.5: Sema3d,LHb.5,Oval/Medial,-0.7658396,2.2592452
LHb.5: Npnt,LHb.5,Hbx,-1.699833,0.34843206
LHb.5: Npnt,LHb.5,Lateral,0.48509368,1.372549
LHb.5: Npnt,LHb.5,Marginal,0.8684314,1.0678059
LHb.5: Npnt,LHb.5,Oval/Medial,0.34630838,0.9944168
LHb.5: Trpc4,LHb.5,Hbx,1.0679653,18.815292
LHb.5: Trpc4,LHb.5,Lateral,0.9012049,17.058825
LHb.5: Trpc4,LHb.5,Marginal,-1.217396,2.4559536
LHb.5: Trpc4,LHb.5,Oval/Medial,-0.7517737,5.7572055
LHb.5: Trhde,LHb.5,Hbx,-1.1200563,3.222998
LHb.5: Trhde,LHb.5,Lateral,1.4571413,11.078431
LHb.5: Trhde,LHb.5,Marginal,-0.70018154,3.6839287
LHb.5: Trhde,LHb.5,Oval/Medial,0.36309576,7.0220604
LHb.5: Il1rapl2,LHb.5,Hbx,-0.53916097,12.107998
LHb.5: Il1rapl2,LHb.5,Lateral,1.4547569,26.862774
LHb.5: Il1rapl2,LHb.5,Marginal,-1.2238902,5.8729234
LHb.5: Il1rapl2,LHb.5,Oval/Medial,0.30829453,17.315365
LHb.5: Sox6,LHb.5,Hbx,-0.28154,5.7491326
LHb.5: Sox6,LHb.5,Lateral,-0.9637208,5.294118
LHb.5: Sox6,LHb.5,Marginal,-0.43006074,5.125462
LHb.5: Sox6,LHb.5,Oval/Medial,1.6753224,7.5890646
LHb.6: Tacr3,LHb.6,Hbx,-1.3852345,0.26132405
LHb.6: Tacr3,LHb.6,Lateral,0.0026156877,0.5882353
LHb.6: Tacr3,LHb.6,Marginal,1.4408303,0.6940738
LHb.6: Tacr3,LHb.6,Oval/Medial,-0.058211192,0.5495462
LHb.6: Mme,LHb.6,Hbx,-0.4148337,10.88849
LHb.6: Mme,LHb.6,Lateral,1.5375334,20.09804
LHb.6: Mme,LHb.6,Marginal,0.08425227,9.9305725
LHb.6: Mme,LHb.6,Oval/Medial,-1.2069522,4.666813
LHb.6: Dgkk,LHb.6,Hbx,1.2657025,1.5679442
LHb.6: Dgkk,LHb.6,Lateral,-0.61656815,0.7843138
LHb.6: Dgkk,LHb.6,Marginal,-1.2745231,0.4805126
LHb.6: Dgkk,LHb.6,Oval/Medial,0.62538826,0.959525
LHb.6: Abca13,LHb.6,Hbx,-0.23082322,0.087108016
LHb.6: Abca13,LHb.6,Lateral,1.6609938,0.19607845
LHb.6: Abca13,LHb.6,Marginal,-0.9969606,0.053390283
LHb.6: Abca13,LHb.6,Oval/Medial,-0.43320978,0.08722959
LHb.6: Ccdc68,LHb.6,Hbx,-0.74767834,0.0
LHb.6: Ccdc68,LHb.6,Lateral,-0.74767834,0.0
LHb.6: Ccdc68,LHb.6,Marginal,1.6850299,0.10678057
LHb.6: Ccdc68,LHb.6,Oval/Medial,-0.18967308,0.026168875
LHb.7: Chrm2,LHb.7,Hbx,-0.92735434,3.397214
LHb.7: Chrm2,LHb.7,Lateral,1.683837,46.37287
LHb.7: Chrm2,LHb.7,Marginal,-0.2819162,13.721287
LHb.7: Chrm2,LHb.7,Oval/Medial,-0.47456685,11.915742
LHb.7: Col25a1,LHb.7,Hbx,-1.1589783,17.247353
LHb.7: Col25a1,LHb.7,Lateral,1.5943564,39.411983
LHb.7: Col25a1,LHb.7,Marginal,-0.11772844,22.423998
LHb.7: Col25a1,LHb.7,Oval/Medial,-0.31764972,22.400955
LHb.7: Caln1,LHb.7,Hbx,-1.2412183,1.2195121
LHb.7: Caln1,LHb.7,Lateral,0.94333595,8.823529
LHb.7: Caln1,LHb.7,Marginal,-0.72427225,2.5627344
LHb.7: Caln1,LHb.7,Oval/Medial,1.0221545,7.981606
LHb.7: Nckap5,LHb.7,Hbx,-0.3136262,3.8327546
LHb.7: Nckap5,LHb.7,Lateral,-0.7344609,2.4509804
LHb.7: Nckap5,LHb.7,Marginal,-0.6618624,2.0822215
LHb.7: Nckap5,LHb.7,Oval/Medial,1.7099495,6.3503785
LHb.7: Slc2a13,LHb.7,Hbx,0.98549914,54.4427
LHb.7: Slc2a13,LHb.7,Lateral,1.0021082,53.921883
LHb.7: Slc2a13,LHb.7,Marginal,-0.836873,28.8309
LHb.7: Slc2a13,LHb.7,Oval/Medial,-1.1507344,27.60867
LHb.7: Ccdc85a,LHb.7,Hbx,-0.17140076,30.662039
LHb.7: Ccdc85a,LHb.7,Lateral,1.4566239,48.82389
LHb.7: Ccdc85a,LHb.7,Marginal,-1.3577844,9.022941
LHb.7: Ccdc85a,LHb.7,Oval/Medial,0.07256097,29.231173
