probe_set_id,human_gene,gene_accession,control_mean,suicide_mean,ratio_s_to_c,p_value,log2_ratio_s_to_c,direction,human_gene_original,human_gene_upper
16815072,ABCA17P,NR_003574 ,84.22866524152886,69.69572945205641,0.8274585528834071,0.021045827735010687,-0.2732410452600896,down_in_suicide,ABCA17P,ABCA17P
17059491,ABCB1,NM_000927 ,108.14755127314776,148.4811105277853,1.372949352803812,0.00805993755880002,0.4572784063979906,up_in_suicide,ABCB1,ABCB1
16977868,ABCG2,NM_004827 ,262.4444722198306,392.6701358611816,1.4962027301998977,0.024425198234788534,0.5813056685666435,up_in_suicide,ABCG2,ABCG2
16709268,ACSL5,NM_016234 ,92.81783790101304,126.383774038343,1.361632385502524,0.04962647451929085,0.4453372560673692,up_in_suicide,ACSL5,ACSL5
16812215,ADAMTS7,NM_014272 ,64.62276624857326,79.94229253936244,1.237060825156605,0.01658524322229029,0.30691643806239366,up_in_suicide,ADAMTS7,ADAMTS7
16791319,ADCY4,NM_001198568 ,81.55226713461332,99.43870174689167,1.219324799183747,0.015707874884787004,0.2860824768654405,up_in_suicide,ADCY4,ADCY4
16978184,ADH4,NM_000670 ,15.229105553003487,18.285807526469576,1.2007144781305454,0.010112671455461733,0.26389312859785763,up_in_suicide,ADH4,ADH4
16968213,ANXA3,NM_005139 ,105.54641006664664,151.75572170347928,1.437810358567895,0.0229937638159186,0.5238734026229143,up_in_suicide,ANXA3,ANXA3
17000928,ARAP3,NM_022481 ,67.929140385149,85.51870181949167,1.2589398501822966,4.914287507169378e-07,0.3322093554026638,up_in_suicide,ARAP3,ARAP3
16845929,ARHGAP27,ENST00000528273 ,129.62681988271865,156.76338818030885,1.2093437787191132,0.04813069754457007,0.2742244160944401,up_in_suicide,ARHGAP27,ARHGAP27
16730429,ARHGAP42,NM_152432 ,242.1422748412811,189.03831483108837,0.7806910831865222,0.049714305065616554,-0.35717630313831805,down_in_suicide,ARHGAP42,ARHGAP42
16967071,ARL9,NM_206919 ,30.612199644017423,23.233086318045387,0.7589486083397425,0.0378870336659816,-0.39792589699838976,down_in_suicide,ARL9,ARL9
17095887,ASPN,NM_017680 ,31.96228329046864,39.63151429041494,1.2399462807537691,0.033501428974304415,0.31027761886301897,up_in_suicide,ASPN,ASPN
16806145,ATP10A,ENST00000356865 ,174.07062778621977,226.855120209077,1.3032360662689348,0.02429278356335857,0.3820984352401439,up_in_suicide,ATP10A,ATP10A
16855510,ATP8B1,NM_005603 ,76.58870281708418,94.71018646600164,1.2366077891695957,0.016911211787105133,0.3063879980156348,up_in_suicide,ATP8B1,ATP8B1
