probe_set_id,human_gene,gene_accession,control_mean,suicide_mean,ratio_s_to_c,p_value,log2_ratio_s_to_c,direction,human_gene_original,human_gene_upper,mouse_gene,mouse_gene_upper,primary_enriched_celltype,all_enriched_celltypes,primary_celltype_logFC,primary_celltype_marker_fdr,avg_expr_Astrocytes,avg_expr_Diff. Oligodendrocytes,avg_expr_Endothelial,avg_expr_Fibroblasts,avg_expr_LHb,avg_expr_MHb,avg_expr_Macrophages,avg_expr_Microglia,avg_expr_Oligodendrocytes,avg_expr_Pericytes,avg_expr_Polydendrocytes,pct_expr_Astrocytes,pct_expr_Diff. Oligodendrocytes,pct_expr_Endothelial,pct_expr_Fibroblasts,pct_expr_LHb,pct_expr_MHb,pct_expr_Macrophages,pct_expr_Microglia,pct_expr_Oligodendrocytes,pct_expr_Pericytes,pct_expr_Polydendrocytes
16930262,TAB1,NM_153497 ,138.34146276807252,166.01133557990886,1.2000114228821224,0.004094816478755797,0.26304813888125655,up_in_suicide,TAB1,TAB1,Tab1,TAB1,Astrocytes,Astrocytes;Oligodendrocytes,1.0175741910934448,0.027792498248007783,0.0897576,0.04079772,0.031818163,0.0411805,0.04604556,0.0436641,0.023740582,0.02544075,0.06617078,0.08303881,0.027545417,0.054066760695815626,0.015972222222222214,0.018474374255065543,0.023929471032745595,0.024701709126088302,0.027179783466049722,0.017281105990783408,0.013666968143905153,0.05653868268063728,0.046746987951807144,0.010932105868814731
16989001,SLC22A4,NM_003059 ,150.18774963123178,98.57230765280153,0.6563272163997007,0.009076019353998797,-0.6075128352576277,down_in_suicide,SLC22A4,SLC22A4,Slc22a4,SLC22A4,Astrocytes,Astrocytes,4.282654285430908,9.076530021574652e-65,0.29420948,0.0073902486,0.0113771465,0.07761105,0.038711704,0.015234582,0.0115589835,0.0102211395,0.008067954,0.01282651,0.015675457,0.1647860836859424,0.002777777777777778,0.005512514898688912,0.036523929471032744,0.020574008384392085,0.007184305056645507,0.004608294930875576,0.0044216661642046,0.005174726889414172,0.006265060240963856,0.006904487917146144
16928716,KREMEN1,NM_032045 ,203.8835450314902,167.80482897235373,0.8230425311980716,0.02416339479110616,-0.2809611102148009,down_in_suicide,KREMEN1,KREMEN1,Kremen1,KREMEN1,Astrocytes,Astrocytes;MHb,1.0429314374923706,0.024443538323009627,0.09391867,0.019796059,0.059532996,0.089301534,0.03209437,0.058622483,0.017564885,0.02414066,0.041012105,0.07204845,0.021033533,0.054066760695815626,0.0076388888888888895,0.03784266984505361,0.0516372795969773,0.016510802966784872,0.036047125021978724,0.012672811059907835,0.011858104713094175,0.033220468919695816,0.03855421686746985,0.00863060989643268
16801302,PRTG,AY630258 ,25.951078977603252,21.494859303716385,0.8282838383046518,0.02833142174983492,-0.27180285621632877,down_in_suicide,PRTG,PRTG,Prtg,PRTG,Astrocytes,Astrocytes;Oligodendrocytes,2.190035581588745,8.430051461364136e-05,0.10250285,0.016090386,0.0070132753,0.04026047,0.03195545,0.011533536,0.00966723,0.005296627,0.06556397,0.016972624,0.017829647,0.05453690644099663,0.00625,0.0035756853396901054,0.021410579345088162,0.016510802966784872,0.006405586676379734,0.004608294930875576,0.002512310320570796,0.052130581997062046,0.008674698795180725,0.006904487917146144
16737056,PAX6,NM_001258462 ,102.5252526371406,74.5475158153989,0.7271137002630848,0.031401127877590515,-0.4597471159147048,down_in_suicide,PAX6,PAX6,Pax6,PAX6,Astrocytes,Astrocytes,4.763535022735596,1.9378694091740894e-55,0.2555584,0.0052873264,0.007036207,0.0052382303,0.009715115,0.012932014,0.010319735,0.007426727,0.008845087,0.013450043,0.019833539,0.14974141984015024,0.0020833333333333333,0.0035756853396901054,0.0025188916876574307,0.004772653982586256,0.006983345474641437,0.00576036866359447,0.003416742035976281,0.005558039992333742,0.00674698795180723,0.0074798619102416555
16876822,ID2,ENST00000234091 ,198.6597726538916,158.20855461195782,0.7963794204455846,0.036855409635946974,-0.32847215459829787,down_in_suicide,ID2,ID2,Id2,ID2,Astrocytes,Astrocytes;Polydendrocytes;Endothelial;Macrophages;Microglia,3.3820693492889404,2.118294944284714e-205,0.78684294,0.09784217,0.24851266,0.19346267,0.08143455,0.08410665,0.256152,0.16217083,0.077514954,0.095027834,0.25965932,0.3272214386459798,0.038194444444444434,0.14541120381406616,0.09697732997481098,0.03760077394388898,0.037579441834759655,0.138248847926267,0.07938900613003619,0.049894588896697796,0.04481927710843366,0.1006904487917147
16774130,FREM2,NM_207361 ,111.67476517344778,81.1131529167608,0.7263337674431624,0.03984029136679177,-0.46129544200770756,down_in_suicide,FREM2,FREM2,Frem2,FREM2,Astrocytes,Astrocytes,4.684472560882568,1.9942228488686956e-19,0.16361314,0.0055157794,0.023854151,0.012360179,0.0060109654,0.005863309,0.006096182,0.0039456994,0.004940805,0.009369077,0.0031783371,0.08791725434884802,0.0020833333333333333,0.016388557806912982,0.005037783375314861,0.0027732989358271514,0.0027129543570549386,0.002304147465437788,0.0018088634308109739,0.002747077237590236,0.0048192771084337345,0.0011507479861910242
16707120,STAMBPL1,NM_020799 ,267.9471578062368,222.93059885824692,0.831994639105136,0.04265576810771863,-0.26535386238800457,down_in_suicide,STAMBPL1,STAMBPL1,Stambpl1,STAMBPL1,Astrocytes,Astrocytes;MHb,1.0938807725906372,5.247161888202394e-06,0.16222909,0.019531045,0.030719895,0.065815896,0.08677567,0.11349956,0.08592449,0.07294885,0.018882139,0.041422226,0.094355084,0.09261871180065807,0.008333333333333333,0.016388557806912982,0.040302267002518884,0.04701709126088347,0.07312416790172717,0.054147465437788034,0.04250829062405797,0.010541110330288117,0.021686746987951817,0.03624856156501728
17106822,OCRL,NM_000276 ,597.3688756625545,489.31868950718285,0.8191231740429548,0.04611907351312628,-0.2878476842671974,down_in_suicide,OCRL,OCRL,Ocrl,OCRL,Astrocytes,Astrocytes;LHb;MHb,1.3064651489257812,2.4270833298559114e-19,0.30658057,0.05341592,0.091997884,0.14382422,0.20544297,0.16035663,0.0854292,0.049686797,0.10044958,0.098490976,0.047995947,0.16173013634226588,0.020833333333333332,0.05318831942789031,0.06675062972292187,0.10525636891325353,0.0959582004069381,0.056451612903225826,0.024218671490302525,0.07519325368939045,0.05734939759036129,0.01956271576524742
16676693,PFKFB2,NM_006212 ,455.0753927906173,377.34646861418497,0.8291955016513147,0.0461313413303138,-0.27021580497518144,down_in_suicide,PFKFB2,PFKFB2,Pfkfb2,PFKFB2,Astrocytes,Astrocytes,1.3937633037567139,0.019446388418014892,0.07954717,0.011711349,0.014579919,0.01725978,0.04144967,0.039732944,0.014670056,0.009461085,0.027360527,0.01828531,0.00414576,0.04372355430183351,0.004861111111111111,0.008492252681764,0.007556675062972291,0.020896485004837102,0.022356753497952363,0.00576036866359447,0.004622650989850264,0.02082667859196311,0.008674698795180725,0.0017261219792865361
