mouse_gene,human_gene_upper,human_gene,in_bulk,in_sce
Fam135a,FAM135A,FAM135A,True,True
Fam135b,FAM135B,FAM135B,True,True
Fam136a,FAM136A,FAM136A,True,True
Fam13a,FAM13A,FAM13A,True,True
Fam13b,FAM13B,FAM13B,True,True
Fam13c,FAM13C,FAM13C,True,True
Fam149a,FAM149A,FAM149A,True,True
Fam151a,FAM151A,FAM151A,False,True
Fam151b,FAM151B,FAM151B,True,True
Fam155a,FAM155A,FAM155A,True,True
Fam159a,FAM159A,FAM159A,True,False
Fam160a1,FAM160A1,FAM160A1,True,True
Fam160a2,FAM160A2,FAM160A2,True,True
Fam160b1,FAM160B1,FAM160B1,True,True
Fam160b2,FAM160B2,FAM160B2,True,True
Fam161a,FAM161A,FAM161A,True,True
Fam161b,FAM161B,FAM161B,True,True
Fam162a,FAM162A,FAM162A,True,True
Fam163a,FAM163A,FAM163A,True,True
Fam163b,FAM163B,FAM163B,True,True
Fam166a,FAM166A,FAM166A,False,True
Fam166b,FAM166B,FAM166B,True,True
Fam167a,FAM167A,FAM167A,True,True
Fam167b,FAM167B,FAM167B,True,True
Fam168a,FAM168A,FAM168A,True,True
Fam168b,FAM168B,FAM168B,True,True
Fam169a,FAM169A,FAM169A,True,True
Fam169b,FAM169B,FAM169B,False,True
Fam171a1,FAM171A1,FAM171A1,True,True
Fam171a2,FAM171A2,FAM171A2,True,True
Fam171b,FAM171B,FAM171B,True,True
Fam172a,FAM172A,FAM172A,True,True
Fam173a,FAM173A,FAM173A,True,False
Fam173b,FAM173B,FAM173B,True,False
Fam174a,FAM174A,FAM174A,True,True
Fam174b,FAM174B,FAM174B,True,True
Fam178b,FAM178B,FAM178B,True,True
Fam180a,FAM180A,FAM180A,False,True
Fam181a,FAM181A,FAM181A,True,True
Fam181b,FAM181B,FAM181B,True,True
Fam184a,FAM184A,FAM184A,True,True
Fam184b,FAM184B,FAM184B,True,True
Fam185a,FAM185A,FAM185A,True,True
Fam186a,FAM186A,FAM186A,False,True
Fam186b,FAM186B,FAM186B,True,True
Fam187b,FAM187B,FAM187B,False,True
Fam189a1,FAM189A1,FAM189A1,True,True
Fam189a2,FAM189A2,FAM189A2,True,True
Fam189b,FAM189B,FAM189B,True,True
Fam192a,FAM192A,FAM192A,True,True
Fam193a,FAM193A,FAM193A,True,True
Fam193b,FAM193B,FAM193B,True,True
Fam196a,FAM196A,FAM196A,True,False
Fam196b,FAM196B,FAM196B,True,False
Fam198a,FAM198A,FAM198A,True,False
Fam198b,FAM198B,FAM198B,True,False
Fam199x,FAM199X,FAM199X,True,True
Fam19a1,FAM19A1,FAM19A1,True,False
Fam19a2,FAM19A2,FAM19A2,True,False
Fam19a3,FAM19A3,FAM19A3,True,False
Fam19a4,FAM19A4,FAM19A4,True,False
Fam19a5,FAM19A5,FAM19A5,True,False
Fam204a,FAM204A,FAM204A,True,True
Fam205c,FAM205C,FAM205C,False,True
Fam206a,FAM206A,FAM206A,True,False
Fam207a,FAM207A,FAM207A,True,True
Fam208a,FAM208A,FAM208A,True,False
Fam208b,FAM208B,FAM208B,True,False
Fam20a,FAM20A,FAM20A,True,True
Fam20b,FAM20B,FAM20B,True,True
Fam20c,FAM20C,FAM20C,True,True
Fam210a,FAM210A,FAM210A,True,True
Fam210b,FAM210B,FAM210B,True,True
Fam212a,FAM212A,FAM212A,True,False
Fam212b,FAM212B,FAM212B,True,False
Fam213a,FAM213A,FAM213A,True,False
Fam213b,FAM213B,FAM213B,True,False
Fam214a,FAM214A,FAM214A,True,True
Fam214b,FAM214B,FAM214B,True,True
Fam216a,FAM216A,FAM216A,True,True
Fam216b,FAM216B,FAM216B,True,True
Fam217a,FAM217A,FAM217A,False,True
Fam217b,FAM217B,FAM217B,True,True
Fam219a,FAM219A,FAM219A,True,True
Fam219b,FAM219B,FAM219B,True,True
Fam220a,FAM220A,FAM220A,True,True
Fam221a,FAM221A,FAM221A,True,True
Fam221b,FAM221B,FAM221B,False,True
Fam222a,FAM222A,FAM222A,True,True
Fam222b,FAM222B,FAM222B,True,True
Fam227a,FAM227A,FAM227A,True,True
Fam227b,FAM227B,FAM227B,True,True
Fam228a,FAM228A,FAM228A,True,True
Fam228b,FAM228B,FAM228B,True,True
Fam229a,FAM229A,FAM229A,True,True
Fam229b,FAM229B,FAM229B,True,True
Fam234a,FAM234A,FAM234A,True,True
Fam234b,FAM234B,FAM234B,True,True
Fam241a,FAM241A,FAM241A,False,True
Fam241b,FAM241B,FAM241B,False,True
Fam25c,FAM25C,FAM25C,False,True
Fam26e,FAM26E,FAM26E,True,False
Fam26f,FAM26F,FAM26F,True,False
Fam32a,FAM32A,FAM32A,True,True
Fam35a,FAM35A,FAM35A,True,False
Fam3a,FAM3A,FAM3A,True,True
Fam3c,FAM3C,FAM3C,True,True
Fam43a,FAM43A,FAM43A,True,True
Fam43b,FAM43B,FAM43B,True,True
Fam45a,FAM45A,FAM45A,True,False
Fam46a,FAM46A,FAM46A,True,False
Fam46b,FAM46B,FAM46B,True,False
Fam46c,FAM46C,FAM46C,True,False
Fam47e,FAM47E,FAM47E,True,True
Fam49a,FAM49A,FAM49A,True,True
Fam49b,FAM49B,FAM49B,True,True
Fam50a,FAM50A,FAM50A,True,True
Fam50b,FAM50B,FAM50B,True,True
Fam53a,FAM53A,FAM53A,True,True
Fam53b,FAM53B,FAM53B,True,True
Fam53c,FAM53C,FAM53C,True,True
Fam57a,FAM57A,FAM57A,True,False
Fam57b,FAM57B,FAM57B,True,False
Fam60a,FAM60A,FAM60A,True,False
Fam69a,FAM69A,FAM69A,True,False
Fam69b,FAM69B,FAM69B,True,False
Fam69c,FAM69C,FAM69C,True,False
Fam71a,FAM71A,FAM71A,False,True
Fam71d,FAM71D,FAM71D,True,True
Fam71e1,FAM71E1,FAM71E1,True,True
Fam71e2,FAM71E2,FAM71E2,False,True
Fam71f2,FAM71F2,FAM71F2,True,True
Fam72a,FAM72A,FAM72A,True,True
Fam76a,FAM76A,FAM76A,True,True
Fam76b,FAM76B,FAM76B,True,True
Fam78a,FAM78A,FAM78A,True,True
Fam78b,FAM78B,FAM78B,True,True
Fam81a,FAM81A,FAM81A,True,True
Fam81b,FAM81B,FAM81B,True,True
Fam83a,FAM83A,FAM83A,False,True
Fam83b,FAM83B,FAM83B,False,True
Fam83d,FAM83D,FAM83D,False,True
Fam83e,FAM83E,FAM83E,False,True
Fam83f,FAM83F,FAM83F,True,True
Fam83g,FAM83G,FAM83G,True,True
Fam83h,FAM83H,FAM83H,True,True
Fam84a,FAM84A,FAM84A,True,False
Fam84b,FAM84B,FAM84B,True,False
Fam89a,FAM89A,FAM89A,True,True
Fam89b,FAM89B,FAM89B,True,True
Fam8a1,FAM8A1,FAM8A1,True,True
Fam91a1,FAM91A1,FAM91A1,True,True
Fam92a,FAM92A,FAM92A,False,True
Fam92b,FAM92B,FAM92B,True,True
Fam96a,FAM96A,FAM96A,True,False
Fam96b,FAM96B,FAM96B,True,False
Fam98a,FAM98A,FAM98A,True,True
Fam98b,FAM98B,FAM98B,True,True
Fam98c,FAM98C,FAM98C,True,True
Fan1,FAN1,FAN1,True,True
Fanca,FANCA,FANCA,True,True
Fancb,FANCB,FANCB,True,True
Fancc,FANCC,FANCC,True,True
Fancd2,FANCD2,FANCD2,True,True
Fancd2os,FANCD2OS,FANCD2OS,False,True
Fance,FANCE,FANCE,True,True
Fancf,FANCF,FANCF,True,True
Fancg,FANCG,FANCG,True,True
Fanci,FANCI,FANCI,True,True
Fancl,FANCL,FANCL,True,True
Fancm,FANCM,FANCM,True,True
Fank1,FANK1,FANK1,True,True
Fap,FAP,FAP,True,True
Far1,FAR1,FAR1,True,True
Far2,FAR2,FAR2,True,True
Farp1,FARP1,FARP1,True,True
Farp2,FARP2,FARP2,True,True
Fars2,FARS2,FARS2,True,True
Farsa,FARSA,FARSA,True,True
Farsb,FARSB,FARSB,True,True
Fas,FAS,FAS,True,True
Fasn,FASN,FASN,True,True
Fastk,FASTK,FASTK,True,True
Fastkd1,FASTKD1,FASTKD1,True,True
Fastkd2,FASTKD2,FASTKD2,True,True
Fastkd3,FASTKD3,FASTKD3,True,True
Fastkd5,FASTKD5,FASTKD5,True,True
Fat1,FAT1,FAT1,True,True
Fat3,FAT3,FAT3,True,True
Fat4,FAT4,FAT4,True,True
Fau,FAU,FAU,True,True
Faxc,FAXC,FAXC,True,True
Fbf1,FBF1,FBF1,True,True
Fbh1,FBH1,FBH1,False,True
Fbl,FBL,FBL,True,True
Fblim1,FBLIM1,FBLIM1,True,True
Fbll1,FBLL1,FBLL1,True,True
Fbln1,FBLN1,FBLN1,True,True
Fbln2,FBLN2,FBLN2,True,True
Fbln5,FBLN5,FBLN5,True,True
Fbln7,FBLN7,FBLN7,True,True
Fbn1,FBN1,FBN1,True,True
Fbn2,FBN2,FBN2,True,True
Fbp1,FBP1,FBP1,True,True
Fbrs,FBRS,FBRS,True,True
Fbrsl1,FBRSL1,FBRSL1,True,True
Fbxl12,FBXL12,FBXL12,True,True
Fbxl13,FBXL13,FBXL13,True,True
Fbxl14,FBXL14,FBXL14,True,True
Fbxl15,FBXL15,FBXL15,True,True
Fbxl16,FBXL16,FBXL16,True,True
Fbxl17,FBXL17,FBXL17,True,True
Fbxl18,FBXL18,FBXL18,True,True
Fbxl19,FBXL19,FBXL19,True,True
Fbxl2,FBXL2,FBXL2,True,True
Fbxl20,FBXL20,FBXL20,True,True
Fbxl21,FBXL21,FBXL21,True,False
Fbxl22,FBXL22,FBXL22,True,True
Fbxl3,FBXL3,FBXL3,True,True
Fbxl4,FBXL4,FBXL4,True,True
Fbxl5,FBXL5,FBXL5,True,True
Fbxl6,FBXL6,FBXL6,True,True
Fbxl7,FBXL7,FBXL7,True,True
Fbxl8,FBXL8,FBXL8,True,True
Fbxo10,FBXO10,FBXO10,True,True
Fbxo11,FBXO11,FBXO11,True,True
Fbxo15,FBXO15,FBXO15,True,True
Fbxo16,FBXO16,FBXO16,True,True
Fbxo17,FBXO17,FBXO17,True,True
Fbxo18,FBXO18,FBXO18,True,False
Fbxo2,FBXO2,FBXO2,True,True
Fbxo21,FBXO21,FBXO21,True,True
Fbxo22,FBXO22,FBXO22,True,True
Fbxo24,FBXO24,FBXO24,True,True
Fbxo25,FBXO25,FBXO25,True,True
Fbxo27,FBXO27,FBXO27,True,True
Fbxo28,FBXO28,FBXO28,True,True
Fbxo3,FBXO3,FBXO3,True,True
Fbxo30,FBXO30,FBXO30,True,True
Fbxo31,FBXO31,FBXO31,True,True
Fbxo32,FBXO32,FBXO32,True,True
Fbxo33,FBXO33,FBXO33,True,True
Fbxo34,FBXO34,FBXO34,True,True
Fbxo36,FBXO36,FBXO36,True,True
Fbxo38,FBXO38,FBXO38,True,True
Fbxo4,FBXO4,FBXO4,True,True
Fbxo41,FBXO41,FBXO41,True,True
Fbxo42,FBXO42,FBXO42,True,True
Fbxo43,FBXO43,FBXO43,False,True
Fbxo44,FBXO44,FBXO44,True,True
Fbxo45,FBXO45,FBXO45,True,True
Fbxo46,FBXO46,FBXO46,True,True
Fbxo47,FBXO47,FBXO47,False,True
Fbxo48,FBXO48,FBXO48,True,True
Fbxo5,FBXO5,FBXO5,True,True
Fbxo6,FBXO6,FBXO6,True,True
Fbxo7,FBXO7,FBXO7,True,True
Fbxo8,FBXO8,FBXO8,True,True
Fbxo9,FBXO9,FBXO9,True,True
Fbxw10,FBXW10,FBXW10,True,True
Fbxw11,FBXW11,FBXW11,True,True
Fbxw2,FBXW2,FBXW2,True,True
Fbxw4,FBXW4,FBXW4,True,True
Fbxw5,FBXW5,FBXW5,True,True
Fbxw7,FBXW7,FBXW7,True,True
Fbxw8,FBXW8,FBXW8,True,True
Fbxw9,FBXW9,FBXW9,True,True
Fcer1g,FCER1G,FCER1G,True,True
Fcf1,FCF1,FCF1,True,True
Fcgr2b,FCGR2B,FCGR2B,True,True
Fcgrt,FCGRT,FCGRT,True,True
Fcho1,FCHO1,FCHO1,True,True
Fcho2,FCHO2,FCHO2,True,True
Fchsd1,FCHSD1,FCHSD1,True,True
Fchsd2,FCHSD2,FCHSD2,True,True
Fcrl1,FCRL1,FCRL1,False,True
Fcrl5,FCRL5,FCRL5,False,True
Fcrla,FCRLA,FCRLA,False,True
Fcsk,FCSK,FCSK,False,True
Fdft1,FDFT1,FDFT1,True,True
Fdps,FDPS,FDPS,True,True
Fdx1,FDX1,FDX1,True,True
Fdx2,FDX2,FDX2,False,True
Fdxacb1,FDXACB1,FDXACB1,True,True
Fdxr,FDXR,FDXR,True,True
Fech,FECH,FECH,True,True
Fem1a,FEM1A,FEM1A,True,True
Fem1b,FEM1B,FEM1B,True,True
Fem1c,FEM1C,FEM1C,True,True
Fen1,FEN1,FEN1,True,True
Fendrr,FENDRR,FENDRR,True,True
Fer,FER,FER,True,True
Fer1l5,FER1L5,FER1L5,True,True
Fer1l6,FER1L6,FER1L6,False,True
Fermt2,FERMT2,FERMT2,True,True
Fermt3,FERMT3,FERMT3,True,True
Fes,FES,FES,True,True
Fez1,FEZ1,FEZ1,True,True
Fez2,FEZ2,FEZ2,True,True
Fgd1,FGD1,FGD1,True,True
Fgd2,FGD2,FGD2,True,True
Fgd3,FGD3,FGD3,True,True
Fgd4,FGD4,FGD4,True,True
Fgd5,FGD5,FGD5,True,True
Fgd6,FGD6,FGD6,True,True
Fgf1,FGF1,FGF1,True,True
Fgf10,FGF10,FGF10,True,True
Fgf11,FGF11,FGF11,True,True
Fgf12,FGF12,FGF12,True,True
Fgf13,FGF13,FGF13,True,True
Fgf14,FGF14,FGF14,True,True
Fgf17,FGF17,FGF17,True,True
Fgf18,FGF18,FGF18,True,True
Fgf2,FGF2,FGF2,True,True
Fgf20,FGF20,FGF20,True,True
Fgf22,FGF22,FGF22,True,True
Fgf7,FGF7,FGF7,True,True
Fgf9,FGF9,FGF9,True,True
Fgfbp3,FGFBP3,FGFBP3,True,True
Fgfr1,FGFR1,FGFR1,True,True
Fgfr1op,FGFR1OP,FGFR1OP,True,True
Fgfr1op2,FGFR1OP2,FGFR1OP2,True,True
Fgfr2,FGFR2,FGFR2,True,True
Fgfr3,FGFR3,FGFR3,True,True
Fgfr4,FGFR4,FGFR4,True,True
Fgfrl1,FGFRL1,FGFRL1,True,True
Fggy,FGGY,FGGY,True,True
Fgl1,FGL1,FGL1,True,True
Fgl2,FGL2,FGL2,True,True
Fgr,FGR,FGR,True,True
Fhad1,FHAD1,FHAD1,True,True
Fhdc1,FHDC1,FHDC1,True,True
Fhit,FHIT,FHIT,True,True
Fhl1,FHL1,FHL1,True,True
Fhl2,FHL2,FHL2,True,True
Fhl3,FHL3,FHL3,True,True
Fhl5,FHL5,FHL5,True,True
Fhod1,FHOD1,FHOD1,True,True
Fhod3,FHOD3,FHOD3,True,True
Fibcd1,FIBCD1,FIBCD1,True,True
Fibin,FIBIN,FIBIN,True,True
Fibp,FIBP,FIBP,True,True
Ficd,FICD,FICD,True,True
Fig4,FIG4,FIG4,True,True
Fign,FIGN,FIGN,True,True
Fignl1,FIGNL1,FIGNL1,True,True
Fignl2,FIGNL2,FIGNL2,False,True
Filip1,FILIP1,FILIP1,True,True
Filip1l,FILIP1L,FILIP1L,True,True
Fip1l1,FIP1L1,FIP1L1,True,True
Firre,FIRRE,FIRRE,True,True
Fis1,FIS1,FIS1,True,True
Fitm1,FITM1,FITM1,False,True
Fitm2,FITM2,FITM2,True,True
Fiz1,FIZ1,FIZ1,True,True
Fjx1,FJX1,FJX1,True,True
Fkbp10,FKBP10,FKBP10,True,True
Fkbp11,FKBP11,FKBP11,True,True
Fkbp14,FKBP14,FKBP14,True,True
Fkbp15,FKBP15,FKBP15,True,True
Fkbp1a,FKBP1A,FKBP1A,True,True
Fkbp1b,FKBP1B,FKBP1B,True,True
Fkbp2,FKBP2,FKBP2,True,True
Fkbp3,FKBP3,FKBP3,True,True
Fkbp4,FKBP4,FKBP4,True,True
Fkbp5,FKBP5,FKBP5,True,True
Fkbp6,FKBP6,FKBP6,False,True
Fkbp7,FKBP7,FKBP7,True,True
Fkbp8,FKBP8,FKBP8,True,True
Fkbp9,FKBP9,FKBP9,True,True
Fkbpl,FKBPL,FKBPL,True,True
Fkrp,FKRP,FKRP,True,True
Fktn,FKTN,FKTN,True,True
Flad1,FLAD1,FLAD1,True,True
Flcn,FLCN,FLCN,True,True
Fli1,FLI1,FLI1,True,True
Flii,FLII,FLII,True,True
Flna,FLNA,FLNA,True,True
Flnb,FLNB,FLNB,True,True
Flnc,FLNC,FLNC,True,True
Flot1,FLOT1,FLOT1,True,True
Flot2,FLOT2,FLOT2,True,True
Flrt1,FLRT1,FLRT1,True,True
Flrt2,FLRT2,FLRT2,True,True
Flrt3,FLRT3,FLRT3,True,True
Flt1,FLT1,FLT1,True,True
Flt3,FLT3,FLT3,True,True
Flt4,FLT4,FLT4,True,True
Flvcr1,FLVCR1,FLVCR1,True,True
Flvcr2,FLVCR2,FLVCR2,True,True
Flywch1,FLYWCH1,FLYWCH1,True,True
Flywch2,FLYWCH2,FLYWCH2,True,True
Fmc1,FMC1,FMC1,False,True
Fmn1,FMN1,FMN1,True,True
Fmn2,FMN2,FMN2,True,True
Fmnl1,FMNL1,FMNL1,True,True
Fmnl2,FMNL2,FMNL2,True,True
Fmnl3,FMNL3,FMNL3,True,True
Fmo1,FMO1,FMO1,False,True
Fmo2,FMO2,FMO2,True,True
Fmo4,FMO4,FMO4,True,True
Fmo5,FMO5,FMO5,True,True
Fmod,FMOD,FMOD,True,True
Fmr1,FMR1,FMR1,True,True
Fmr1nb,FMR1NB,FMR1NB,False,True
Fn1,FN1,FN1,True,True
Fn3k,FN3K,FN3K,True,True
Fn3krp,FN3KRP,FN3KRP,True,True
Fnbp1,FNBP1,FNBP1,True,True
Fnbp1l,FNBP1L,FNBP1L,True,True
Fnbp4,FNBP4,FNBP4,True,True
Fndc1,FNDC1,FNDC1,True,True
Fndc10,FNDC10,FNDC10,True,True
Fndc11,FNDC11,FNDC11,False,True
Fndc3a,FNDC3A,FNDC3A,True,True
Fndc3b,FNDC3B,FNDC3B,True,True
Fndc4,FNDC4,FNDC4,True,True
Fndc5,FNDC5,FNDC5,True,True
Fndc7,FNDC7,FNDC7,True,True
Fndc8,FNDC8,FNDC8,False,True
Fndc9,FNDC9,FNDC9,True,True
Fnip1,FNIP1,FNIP1,True,True
Fnip2,FNIP2,FNIP2,True,True
Fnta,FNTA,FNTA,True,True
Fntb,FNTB,FNTB,True,True
Focad,FOCAD,FOCAD,True,True
Folh1,FOLH1,FOLH1,True,True
Folr1,FOLR1,FOLR1,True,True
Folr2,FOLR2,FOLR2,True,True
Fopnl,FOPNL,FOPNL,True,True
Fos,FOS,FOS,True,True
Fosb,FOSB,FOSB,True,True
Fosl1,FOSL1,FOSL1,True,True
Fosl2,FOSL2,FOSL2,True,True
Foxa1,FOXA1,FOXA1,True,True
Foxb1,FOXB1,FOXB1,True,True
Foxc1,FOXC1,FOXC1,True,True
Foxc2,FOXC2,FOXC2,True,True
Foxd1,FOXD1,FOXD1,True,True
Foxf1,FOXF1,FOXF1,True,True
Foxf2,FOXF2,FOXF2,True,True
Foxg1,FOXG1,FOXG1,True,True
Foxj1,FOXJ1,FOXJ1,True,True
Foxj2,FOXJ2,FOXJ2,True,True
Foxj3,FOXJ3,FOXJ3,True,True
Foxk1,FOXK1,FOXK1,True,True
Foxk2,FOXK2,FOXK2,True,True
Foxl2,FOXL2,FOXL2,False,True
Foxm1,FOXM1,FOXM1,True,True
Foxn2,FOXN2,FOXN2,True,True
Foxn3,FOXN3,FOXN3,True,True
Foxo1,FOXO1,FOXO1,True,True
Foxo3,FOXO3,FOXO3,True,True
Foxo4,FOXO4,FOXO4,True,True
Foxo6,FOXO6,FOXO6,True,True
Foxp1,FOXP1,FOXP1,True,True
Foxp2,FOXP2,FOXP2,True,True
Foxp3,FOXP3,FOXP3,True,True
Foxp4,FOXP4,FOXP4,True,True
Foxq1,FOXQ1,FOXQ1,True,True
Foxr2,FOXR2,FOXR2,False,True
Foxred1,FOXRED1,FOXRED1,True,True
Foxred2,FOXRED2,FOXRED2,True,True
Foxs1,FOXS1,FOXS1,True,True
Fpgs,FPGS,FPGS,True,True
Fpgt,FPGT,FPGT,True,True
Fpr1,FPR1,FPR1,True,True
Fpr2,FPR2,FPR2,False,True
Fpr3,FPR3,FPR3,True,True
Fra10ac1,FRA10AC1,FRA10AC1,True,True
Fras1,FRAS1,FRAS1,True,True
Frat1,FRAT1,FRAT1,True,True
Frat2,FRAT2,FRAT2,True,True
Frem1,FREM1,FREM1,True,True
Frem2,FREM2,FREM2,True,True
Frem3,FREM3,FREM3,True,True
Frg1,FRG1,FRG1,True,True
Frk,FRK,FRK,True,True
Frmd3,FRMD3,FRMD3,True,True
Frmd4a,FRMD4A,FRMD4A,True,True
Frmd4b,FRMD4B,FRMD4B,True,True
Frmd5,FRMD5,FRMD5,True,True
Frmd6,FRMD6,FRMD6,True,True
Frmd7,FRMD7,FRMD7,False,True
Frmd8,FRMD8,FRMD8,True,True
Frmpd1,FRMPD1,FRMPD1,True,True
Frmpd2,FRMPD2,FRMPD2,True,True
Frmpd3,FRMPD3,FRMPD3,True,True
Frmpd4,FRMPD4,FRMPD4,True,True
Frrs1,FRRS1,FRRS1,True,True
Frrs1l,FRRS1L,FRRS1L,True,True
Frs2,FRS2,FRS2,True,True
Frs3,FRS3,FRS3,True,True
Fry,FRY,FRY,True,True
Fryl,FRYL,FRYL,True,True
Frzb,FRZB,FRZB,True,True
Fsbp,FSBP,FSBP,True,True
Fscn1,FSCN1,FSCN1,True,True
Fscn2,FSCN2,FSCN2,True,True
Fsd1,FSD1,FSD1,True,True
Fsd1l,FSD1L,FSD1L,True,True
Fsd2,FSD2,FSD2,False,True
Fshr,FSHR,FSHR,True,True
Fsip1,FSIP1,FSIP1,True,True
Fstl1,FSTL1,FSTL1,True,True
Fstl3,FSTL3,FSTL3,True,True
Fstl4,FSTL4,FSTL4,True,True
Fstl5,FSTL5,FSTL5,True,True
Fth1,FTH1,FTH1,True,True
Fto,FTO,FTO,True,True
Ftsj1,FTSJ1,FTSJ1,True,True
Ftsj3,FTSJ3,FTSJ3,True,True
Ftx,FTX,FTX,True,True
Fubp1,FUBP1,FUBP1,True,True
Fubp3,FUBP3,FUBP3,True,True
Fuca1,FUCA1,FUCA1,True,True
Fuca2,FUCA2,FUCA2,True,True
Fuk,FUK,FUK,True,False
Fundc1,FUNDC1,FUNDC1,True,True
Fundc2,FUNDC2,FUNDC2,True,True
Fuom,FUOM,FUOM,True,True
Furin,FURIN,FURIN,True,True
Fus,FUS,FUS,True,True
Fut10,FUT10,FUT10,True,True
Fut11,FUT11,FUT11,True,True
Fut2,FUT2,FUT2,False,True
Fut4,FUT4,FUT4,True,True
Fut8,FUT8,FUT8,True,True
Fut9,FUT9,FUT9,True,True
Fuz,FUZ,FUZ,True,True
Fxn,FXN,FXN,True,True
Fxr1,FXR1,FXR1,True,True
Fxr2,FXR2,FXR2,True,True
Fxyd1,FXYD1,FXYD1,True,True
Fxyd2,FXYD2,FXYD2,True,True
Fxyd3,FXYD3,FXYD3,True,True
Fxyd4,FXYD4,FXYD4,True,True
Fxyd5,FXYD5,FXYD5,True,True
Fxyd6,FXYD6,FXYD6,True,True
Fxyd7,FXYD7,FXYD7,True,True
Fyb,FYB,FYB,True,False
Fyb2,FYB2,FYB2,False,True
Fyco1,FYCO1,FYCO1,True,True
Fyn,FYN,FYN,True,True
Fyttd1,FYTTD1,FYTTD1,True,True
Fzd1,FZD1,FZD1,True,True
Fzd10,FZD10,FZD10,True,True
Fzd2,FZD2,FZD2,True,True
Fzd3,FZD3,FZD3,True,True
Fzd4,FZD4,FZD4,True,True
Fzd5,FZD5,FZD5,True,True
Fzd6,FZD6,FZD6,True,True
Fzd7,FZD7,FZD7,True,True
Fzd8,FZD8,FZD8,True,True
Fzd9,FZD9,FZD9,True,True
Fzr1,FZR1,FZR1,True,True
G0s2,G0S2,G0S2,True,True
G2e3,G2E3,G2E3,True,True
G3bp1,G3BP1,G3BP1,True,True
G3bp2,G3BP2,G3BP2,True,True
G6pc3,G6PC3,G6PC3,True,True
Gaa,GAA,GAA,True,True
Gab1,GAB1,GAB1,True,True
Gab2,GAB2,GAB2,True,True
Gab3,GAB3,GAB3,True,True
Gabarap,GABARAP,GABARAP,True,True
Gabarapl1,GABARAPL1,GABARAPL1,True,True
Gabarapl2,GABARAPL2,GABARAPL2,True,True
Gabbr1,GABBR1,GABBR1,True,True
Gabbr2,GABBR2,GABBR2,True,True
Gabpa,GABPA,GABPA,True,True
Gabpb1,GABPB1,GABPB1,True,True
Gabpb2,GABPB2,GABPB2,True,True
Gabra1,GABRA1,GABRA1,True,True
Gabra2,GABRA2,GABRA2,True,True
Gabra3,GABRA3,GABRA3,True,True
Gabra4,GABRA4,GABRA4,True,True
Gabra5,GABRA5,GABRA5,True,True
Gabrb1,GABRB1,GABRB1,True,True
Gabrb2,GABRB2,GABRB2,True,True
Gabrb3,GABRB3,GABRB3,True,True
Gabrd,GABRD,GABRD,True,True
Gabre,GABRE,GABRE,True,True
Gabrg1,GABRG1,GABRG1,True,True
Gabrg2,GABRG2,GABRG2,True,True
Gabrg3,GABRG3,GABRG3,True,True
Gabrq,GABRQ,GABRQ,True,True
Gabrr1,GABRR1,GABRR1,True,True
Gabrr2,GABRR2,GABRR2,True,True
Gabrr3,GABRR3,GABRR3,False,True
Gad1,GAD1,GAD1,True,True
Gad2,GAD2,GAD2,True,True
Gadd45a,GADD45A,GADD45A,True,True
Gadd45b,GADD45B,GADD45B,True,True
Gadd45g,GADD45G,GADD45G,True,True
Gadd45gip1,GADD45GIP1,GADD45GIP1,True,True
Gadl1,GADL1,GADL1,True,True
Gak,GAK,GAK,True,True
Gal,GAL,GAL,True,True
Gal3st1,GAL3ST1,GAL3ST1,True,True
Gal3st3,GAL3ST3,GAL3ST3,True,True
Gal3st4,GAL3ST4,GAL3ST4,True,True
Galc,GALC,GALC,True,True
Gale,GALE,GALE,True,True
Galk1,GALK1,GALK1,True,True
Galk2,GALK2,GALK2,True,True
Galm,GALM,GALM,True,True
Galns,GALNS,GALNS,True,True
Galnt1,GALNT1,GALNT1,True,True
Galnt10,GALNT10,GALNT10,True,True
Galnt11,GALNT11,GALNT11,True,True
Galnt12,GALNT12,GALNT12,True,True
Galnt13,GALNT13,GALNT13,True,True
Galnt14,GALNT14,GALNT14,True,True
Galnt15,GALNT15,GALNT15,True,True
Galnt16,GALNT16,GALNT16,True,True
Galnt17,GALNT17,GALNT17,False,True
Galnt18,GALNT18,GALNT18,True,True
Galnt2,GALNT2,GALNT2,True,True
Galnt3,GALNT3,GALNT3,True,True
Galnt4,GALNT4,GALNT4,True,True
Galnt5,GALNT5,GALNT5,True,True
Galnt6,GALNT6,GALNT6,True,True
Galnt7,GALNT7,GALNT7,True,True
Galnt9,GALNT9,GALNT9,True,True
Galntl6,GALNTL6,GALNTL6,True,True
Galr1,GALR1,GALR1,True,True
Galr2,GALR2,GALR2,False,True
Galt,GALT,GALT,True,True
Gamt,GAMT,GAMT,True,True
Gan,GAN,GAN,True,True
Ganab,GANAB,GANAB,True,True
Ganc,GANC,GANC,True,True
Gap43,GAP43,GAP43,True,True
Gapdh,GAPDH,GAPDH,True,True
Gapdhs,GAPDHS,GAPDHS,False,True
Gapvd1,GAPVD1,GAPVD1,True,True
Gar1,GAR1,GAR1,True,True
Garem1,GAREM1,GAREM1,True,True
Garem2,GAREM2,GAREM2,True,True
Garnl3,GARNL3,GARNL3,True,True
Gars,GARS,GARS,True,True
Gart,GART,GART,True,True
Gas1,GAS1,GAS1,True,True
Gas2,GAS2,GAS2,True,True
