,names,avg_logFC,ct,pheno
52,Gm42418,-1.99666526802,Macrophages,spt
191,Tmsb4x,1.3913206571528611,Macrophages,spt
184,Snhg11,-2.9095943670668265,Macrophages,spt
70,Kcnd2,-2.9595289338070456,Macrophages,spt
72,Kcnma1,-2.4817131998197475,Macrophages,spt
24,Cmss1,-2.467113999217653,Macrophages,spt
104,Nwd2,-2.4405727860301507,Macrophages,spt
194,Trpm3,-2.57362427876409,Macrophages,spt
73,Kctd8,-3.5886469476354783,Macrophages,spt
11,Cadm2,-2.995544832609586,Macrophages,spt
106,Opcml,-3.242798102251601,Macrophages,spt
43,Fam155a,-3.783964441608613,Macrophages,spt
47,Fgf14,-2.8717520283063647,Macrophages,spt
30,Ctnna2,-2.950199459792797,Macrophages,spt
100,Nlgn1,-2.6933172937126524,Macrophages,spt
51,Galntl6,-3.2571666142897566,Macrophages,spt
87,Map1b,-2.4279013466978374,Macrophages,spt
19,Cdk14,-2.8819603701580414,Macrophages,spt
99,Nkain2,-2.233995213919414,Macrophages,spt
12,Camk1d,-1.9059763036498816,Macrophages,spt
33,Dlg2,-2.427856701613469,Macrophages,spt
7,Asic2,-2.938438638965517,Macrophages,spt
42,Erc2,-3.2753826273758313,Macrophages,spt
54,Gphn,-2.572694947426326,Macrophages,spt
285,Opcml,-3.56598195768,Macrophages,susceptible
76,Cntnap2,-4.46695916552,Macrophages,susceptible
292,Pcdh9,-4.39060810402,Macrophages,susceptible
88,Ctnna2,-5.55236236572,Macrophages,susceptible
210,Kcnma1,-4.42362979796,Macrophages,susceptible
283,Nwd2,-4.16765392946,Macrophages,susceptible
102,Dlg2,-5.65738564244,Macrophages,susceptible
280,Nrxn1,-4.48069071816,Macrophages,susceptible
278,Nrg3,-5.53230330416,Macrophages,susceptible
274,Nlgn1,-4.13378889748,Macrophages,susceptible
273,Nkain2,-5.7088945584,Macrophages,susceptible
131,Fam155a,-9.65022221286,Macrophages,susceptible
134,Fau,2.33215868546,Macrophages,susceptible
142,Fgf14,-5.6920460543599996,Macrophages,susceptible
250,Meg3,-4.50283155088,Macrophages,susceptible
155,Galntl6,-4.8506351215,Macrophages,susceptible
239,Magi2,-5.29992282892,Macrophages,susceptible
229,Lsamp,-4.80787218642,Macrophages,susceptible
227,Lrrc4c,-4.74823142092,Macrophages,susceptible
212,Kctd8,-5.0990350307200005,Macrophages,susceptible
208,Kcnd2,-4.28586425558,Macrophages,susceptible
305,Plp1,-3.5848666928600004,Macrophages,susceptible
209,Kcnip4,-7.3005946688600005,Macrophages,susceptible
320,Ptprd,-5.77059987636,Macrophages,susceptible
29,Asic2,-5.66842644252,Macrophages,susceptible
341,Robo1,-5.93642984182,Macrophages,susceptible
476,Trpm3,-5.56218924596,Macrophages,susceptible
46,Cadm2,-4.226479289279999,Macrophages,susceptible
468,Tmsb4x,1.82028797486,Macrophages,susceptible
456,Tenm2,-4.06875141584,Macrophages,susceptible
437,Snhg11,-4.1102517277,Macrophages,susceptible
236,Lyz2,2.781484369313863,Macrophages,susceptible
237,Macrod2,-4.226738104640928,Macrophages,susceptible
135,Fcer1g,2.7270873373674736,Macrophages,susceptible
483,Tyrobp,1.9169557813925568,Macrophages,susceptible
34,Auts2,-4.118788826796078,Macrophages,susceptible
226,Lrp1b,-3.8617201255204163,Macrophages,susceptible
14,Ank3,-4.286135596034448,Macrophages,susceptible
268,Ncam2,-4.276033641715087,Macrophages,susceptible
480,Ttr,5.938161587477459,Macrophages,susceptible
108,Dpp6,-3.7897863891382766,Macrophages,susceptible
451,Syt1,-3.6543386280874097,Macrophages,susceptible
251,Mgat4c,-4.997886947874047,Macrophages,susceptible
159,Gm42418,-1.2497092805643704,Macrophages,susceptible
200,Il1rapl1,-7.63433428438191,Macrophages,susceptible
329,Ralyl,-3.978515424984925,Macrophages,susceptible
6,Adgrb3,-4.720390013366936,Macrophages,susceptible
148,Ftl1,1.4462586494292653,Macrophages,susceptible
281,Ntm,-4.347338488699533,Macrophages,susceptible
316,Ptgds,-2.7925232404549147,Macrophages,susceptible
35,B2m,2.076580696089613,Macrophages,susceptible
13,Ank2,-3.333573220366972,Macrophages,susceptible
55,Ccser1,-5.369747750602164,Macrophages,susceptible
127,Erc2,-4.056411044619154,Macrophages,susceptible
15,Anks1b,-5.064457583518062,Macrophages,susceptible
86,Csmd3,-4.464704619146743,Macrophages,susceptible
429,Sh3bgrl3,2.1874601561247675,Macrophages,susceptible
431,Slc24a2,-4.725305487008688,Macrophages,susceptible
222,Lhfpl3,-9.065414143057591,Macrophages,susceptible
162,Gnao1,-4.3403319072491096,Macrophages,susceptible
242,Map1b,-2.3678586804995803,Macrophages,susceptible
474,Tpt1,0.9883174605509816,Macrophages,susceptible
240,Mal,-5.092804091331073,Macrophages,susceptible
197,Ifitm3,2.3595878634623655,Macrophages,susceptible
111,Eef1a1,1.4163194818376161,Macrophages,susceptible
277,Nrg1,-5.551132244357639,Macrophages,susceptible
171,Gria4,-7.246889519834531,Macrophages,susceptible
450,Syne1,-2.9371854878054102,Macrophages,susceptible
228,Lrrtm4,-9.095903152840535,Macrophages,susceptible
71,Clic1,2.7218504150142886,Macrophages,susceptible
293,Pclo,-5.119308745884956,Macrophages,susceptible
241,Malat1,-2.477117379226297,Macrophages,susceptible
249,Mdga2,-3.622963991526579,Macrophages,susceptible
107,Dpp10,-3.9406327519953597,Macrophages,susceptible
89,Ctnnd2,-3.2723272046689895,Macrophages,susceptible
169,Gria1,-3.456631976811594,Macrophages,susceptible
154,Galnt13,-5.383664466370023,Macrophages,susceptible
302,Pfn1,1.8937422039150944,Macrophages,susceptible
41,C1qa,2.07252371868806,Macrophages,susceptible
458,Thsd7a,-4.134819365691173,Macrophages,susceptible
289,Pam,-3.50168598303189,Macrophages,susceptible
42,C1qb,1.9387130335420177,Macrophages,susceptible
295,Pcsk1n,-2.8984326734493746,Macrophages,susceptible
26,Arpc3,2.24438861214128,Macrophages,susceptible
258,Msi2,-2.6361416944238836,Macrophages,susceptible
20,Apoe,1.7682820002522706,Macrophages,susceptible
96,Cyba,2.188164042349028,Macrophages,susceptible
172,Grid2,-7.303053386008231,Macrophages,susceptible
291,Pbx1,-2.9336088297755745,Macrophages,susceptible
332,Rbms3,-3.5217249201052634,Macrophages,susceptible
470,Tnr,-4.249064353027027,Macrophages,susceptible
428,Sgcz,-10.296827233902576,Macrophages,susceptible
2,Actb,1.0006387960832863,Macrophages,susceptible
478,Ttc3,-2.456749211199095,Macrophages,susceptible
126,Erbb4,-3.720867700484607,Macrophages,susceptible
170,Gria2,-4.065377920626257,Macrophages,susceptible
44,C230004F18Rik,-6.428891796257916,Macrophages,susceptible
23,Arhgdib,2.594919592497103,Macrophages,susceptible
24,Arpc1b,2.07013055152218,Macrophages,susceptible
195,Ifi27l2a,4.31510255278266,Macrophages,susceptible
247,Mbp,-1.5104071824793874,Macrophages,susceptible
153,Gabbr2,-3.9784617704124328,Macrophages,susceptible
233,Ly6e,2.5458368637610485,Macrophages,susceptible
152,Gabbr1,-2.4643292752788106,Macrophages,susceptible
296,Pde4b,-2.5609159674339037,Macrophages,susceptible
82,Cpne4,-4.233414772925903,Macrophages,susceptible
3,Actg1,1.9410607148536896,Macrophages,susceptible
43,C1qc,1.8309590137608764,Macrophages,susceptible
51,Car10,-7.659337044403731,Macrophages,susceptible
324,Qk,-1.7683849502921967,Macrophages,susceptible
336,Rgs6,-4.2882110117709065,Macrophages,susceptible
426,Serf2,1.6469915508462103,Macrophages,susceptible
67,Celf4,-4.232524365831702,Macrophages,susceptible
64,Cdk14,-2.331061120384163,Macrophages,susceptible
2,AY036118,-3.06059326972,Macrophages,tst
115,Cyba,2.4760659271199996,Macrophages,tst
122,Dlg2,-3.56290218876,Macrophages,tst
263,Ly86,2.73237123334,Macrophages,tst
156,Fau,2.27411503306,Macrophages,tst
157,Fcer1g,3.02900980752,Macrophages,tst
388,Robo1,-4.539269116400001,Macrophages,tst
163,Fgf14,-3.9827969143,Macrophages,tst
169,Ftl1,1.9892215328999998,Macrophages,tst
366,Ptprd,-4.1503017524,Macrophages,tst
180,Gm42418,-3.1967810428,Macrophages,tst
364,Ptpn18,2.9901969192199997,Macrophages,tst
347,Plp1,-2.91531881088,Macrophages,tst
333,Pcdh9,-4.3653981296,Macrophages,tst
326,Opcml,-4.1799471603,Macrophages,tst
324,Nwd2,-2.62009730196,Macrophages,tst
322,Nrxn1,-3.8827561992199997,Macrophages,tst
320,Nrg3,-4.29337691634,Macrophages,tst
316,Nlgn1,-3.67929620776,Macrophages,tst
315,Nkain2,-4.42708022154,Macrophages,tst
286,Meg3,-4.09595216716,Macrophages,tst
235,Kcnd2,-3.57475026662,Macrophages,tst
236,Kcnip4,-5.38708895118,Macrophages,tst
237,Kcnma1,-3.4917817346000004,Macrophages,tst
240,Kctd8,-4.1177016869,Macrophages,tst
280,Mbp,-1.7978474049199997,Macrophages,tst
274,Map1b,-2.5669477669200003,Macrophages,tst
269,Magi2,-3.6251426886200004,Macrophages,tst
266,Lyz2,2.821667824,Macrophages,tst
259,Lsamp,-4.21317055866,Macrophages,tst
89,Cntnap2,-3.3365044290999997,Macrophages,tst
526,Tmsb4x,1.8330975092600001,Macrophages,tst
512,Tenm2,-3.8981781598399996,Macrophages,tst
510,Syt1,-3.4430072841599997,Macrophages,tst
534,Trpm3,-4.3346856991200005,Macrophages,tst
38,B2m,2.2996535736,Macrophages,tst
488,Snhg11,-3.1222836162200003,Macrophages,tst
44,C1qa,2.6681610964,Macrophages,tst
45,C1qb,2.3610509687400003,Macrophages,tst
46,C1qc,2.54151612052,Macrophages,tst
50,Cadm2,-3.37997794442,Macrophages,tst
87,Cmss1,-2.33347226618,Macrophages,tst
20,Apoe,2.34148217042,Macrophages,tst
103,Ctnna2,-4.464641525959999,Macrophages,tst
539,Tyrobp,2.349973617,Macrophages,tst
175,Galntl6,-3.956857950510102,Macrophages,tst
30,Asic2,-3.3874800561912384,Macrophages,tst
323,Ntm,-4.863461215923185,Macrophages,tst
86,Clta,1.9685583655662267,Macrophages,tst
376,Ralyl,-4.486112552080833,Macrophages,tst
37,Auts2,-3.742279813945578,Macrophages,tst
101,Cst3,1.2826405759395638,Macrophages,tst
257,Lrrc4c,-3.279605307184311,Macrophages,tst
230,Itm2b,1.4071312677697698,Macrophages,tst
342,Pfn1,1.966556866733427,Macrophages,tst
145,Erc2,-4.0089305446804255,Macrophages,tst
199,H2-D1,2.1645828506222404,Macrophages,tst
129,Dpp6,-3.4337114332664127,Macrophages,tst
152,Fam155a,-3.4104594058646316,Macrophages,tst
13,Ank2,-3.156953110948172,Macrophages,tst
267,Macrod2,-3.0636327360474467,Macrophages,tst
246,Laptm5,2.317582142690529,Macrophages,tst
100,Csmd3,-4.677888891150977,Macrophages,tst
256,Lrp1b,-3.1746285885368315,Macrophages,tst
475,Serf2,1.7637374804400483,Macrophages,tst
362,Ptgds,-2.585507800020186,Macrophages,tst
284,Mdga2,-3.9519253466639626,Macrophages,tst
84,Clic1,2.665041118307286,Macrophages,tst
476,Serinc3,2.099203324888166,Macrophages,tst
270,Mal,-5.41143488684157,Macrophages,tst
304,Ncam2,-3.447566833638584,Macrophages,tst
478,Sh3bgrl3,2.048410542446483,Macrophages,tst
345,Pld4,3.601911269213391,Macrophages,tst
53,Camk1d,-1.2583445922844205,Macrophages,tst
509,Syne1,-2.7490127672492717,Macrophages,tst
291,Mrc1,2.384291930700292,Macrophages,tst
383,Rgs10,2.230176046494157,Macrophages,tst
258,Lrrtm4,-7.467016097034252,Macrophages,tst
107,Ctsc,1.997389727134725,Macrophages,tst
380,Rbpj,2.840661822245673,Macrophages,tst
287,Mgat4c,-3.56495843677433,Macrophages,tst
128,Dpp10,-4.11628710757672,Macrophages,tst
187,Gng5,2.052680828088454,Macrophages,tst
200,H2-K1,2.319806436705079,Macrophages,tst
340,Pf4,2.1431845087257018,Macrophages,tst
204,Hexa,2.1927421791783783,Macrophages,tst
242,Lamp1,1.8164202010610655,Macrophages,tst
74,Cdc42,1.9068841487730728,Macrophages,tst
192,Gria1,-3.3269446495943873,Macrophages,tst
384,Rgs6,-7.2517102459435625,Macrophages,tst
6,Adgrb3,-3.1804138492590135,Macrophages,tst
220,Ifitm3,2.217963193198653,Macrophages,tst
334,Pclo,-4.313245433040936,Macrophages,tst
260,Lst1,2.3122793424037815,Macrophages,tst
62,Ccser1,-3.480010718439716,Macrophages,tst
252,Lhfpl3,-4.206086596959226,Macrophages,tst
150,F13a1,2.353843956946387,Macrophages,tst
94,Cpne4,-4.442680202518413,Macrophages,tst
14,Ank3,-2.875643238465205,Macrophages,tst
201,H2afz,2.0317853326959847,Macrophages,tst
379,Rbms3,-3.31314975478532,Macrophages,tst
328,Ost4,2.222717892878049,Macrophages,tst
190,Gpm6b,-2.9450342176326734,Macrophages,tst
109,Ctsh,2.2683603799051424,Macrophages,tst
26,Arpc2,1.9096643747436859,Macrophages,tst
203,H3f3b,1.3858480264816675,Macrophages,tst
317,Npc2,1.8408088934514637,Macrophages,tst
293,Ms4a7,2.014729255198537,Macrophages,tst
27,Arpc3,2.0324930362041465,Macrophages,tst
528,Tnr,-3.833497190744681,Macrophages,tst
292,Ms4a6c,2.832707470220786,Macrophages,tst
104,Ctnnd2,-2.734738237780178,Macrophages,tst
135,Eif1,1.1754831868629578,Macrophages,tst
174,Galnt13,-3.8464273753002183,Macrophages,tst
24,Arhgdib,2.3565089168741356,Macrophages,tst
210,Hpgd,2.2478738945429364,Macrophages,tst
184,Gnao1,-3.0566047323801517,Macrophages,tst
189,Gphn,-2.1207469480227594,Macrophages,tst
98,Csf1r,2.028624381289398,Macrophages,tst
193,Gria2,-3.6300477538041918,Macrophages,tst
159,Fcgrt,2.671424269065805,Macrophages,tst
108,Ctsd,1.8602294509085493,Macrophages,tst
249,Lcp1,2.2419830694152925,Macrophages,tst
198,Grn,2.354414155244123,Macrophages,tst
221,Ifngr1,2.749125942598734,Macrophages,tst
352,Ppib,2.1577858967526558,Macrophages,tst
544,Unc93b1,2.2962382925213674,Macrophages,tst
39,Blvrb,2.652525554871955,Macrophages,tst
294,Msi2,-2.2296650777463016,Macrophages,tst
131,Eef1a1,1.3634711725796178,Macrophages,tst
171,Gabarap,1.7009475124637683,Macrophages,tst
4,Actg1,1.8018432664600326,Macrophages,tst
549,Wfdc17,2.15224903374877,Macrophages,tst
477,Sgcz,-4.597027773115079,Macrophages,tst
532,Tpt1,0.928391254638169,Macrophages,tst
119,Dab2,1.7768390288926745,Macrophages,tst
331,Pbx1,-2.5371275172460805,Macrophages,tst
112,Ctsz,2.0150882358549222,Macrophages,tst
253,Lingo2,-14.123387455733146,Macrophages,tst
40,Bri3,1.9084662929420237,Macrophages,tst
518,Tm6sf1,4.680549983826715,Macrophages,tst
299,Myl6,1.7952386183447748,Macrophages,tst
515,Thsd7a,-3.11584525619486,Macrophages,tst
111,Ctss,1.7731474414044512,Macrophages,tst
0,0610009B22Rik,-1.90016480026,MHb,resilient
2242,Pdcd10,-1.0391953116819999,MHb,resilient
2305,Phyh,-1.49821959406,MHb,resilient
2303,Phlpp1,-1.35227003406,MHb,resilient
2293,Phax,-1.9430557743199999,MHb,resilient
2291,Phactr1,-0.560558488374,MHb,resilient
2289,Pgrmc1,-0.695210925342,MHb,resilient
2288,Pgp,-1.46422801808,MHb,resilient
2284,Pgk1,-1.6521302292600002,MHb,resilient
2283,Pgam1,-1.7183084241600002,MHb,resilient
2282,Pfn2,-1.7247726044,MHb,resilient
2281,Pfn1,-1.87398077906,MHb,resilient
2280,Pfdn6,-1.62808447944,MHb,resilient
2279,Pfdn5,-1.37599239286,MHb,resilient
2277,Pfdn2,-1.040900860028,MHb,resilient
2276,Pfdn1,-1.6764792306799998,MHb,resilient
2269,Pebp1,-1.74497823016,MHb,resilient
2265,Pdxp,-1.293109744202,MHb,resilient
2257,Pdia3,-0.761020139038,MHb,resilient
2251,Pde4d,-0.598467307962,MHb,resilient
2250,Pde4b,-2.3605156037,MHb,resilient
2249,Pde2a,2.15291364268,MHb,resilient
2248,Pde1a,-0.36286642841600003,MHb,resilient
2245,Pdcd6,-1.5958243245800001,MHb,resilient
2244,Pdcd5,-1.6189999052400001,MHb,resilient
2306,Phyhipl,-1.149044102516,MHb,resilient
2310,Pigp,-1.07405449329,MHb,resilient
2315,Pin1,-1.5726202347,MHb,resilient
2361,Pnmal1,-1.38221983272,MHb,resilient
2378,Polr2m,-1.5667212643000001,MHb,resilient
2377,Polr2k,-1.8348974190600003,MHb,resilient
2376,Polr2j,-1.76586525438,MHb,resilient
2375,Polr2i,-1.79749157262,MHb,resilient
2373,Polr2g,-1.62557218274,MHb,resilient
2372,Polr2f,-1.56609191322,MHb,resilient
2371,Polr2e,-1.62917633394,MHb,resilient
2368,Polr1d,-1.6654038806,MHb,resilient
2364,Pnrc1,-1.93398629516,MHb,resilient
2362,Pnmal2,-1.142665238982,MHb,resilient
2356,Pmm1,-1.37682860032,MHb,resilient
2316,Pin4,-1.382015015548,MHb,resilient
2355,Pmepa1,-0.546072711006,MHb,resilient
2349,Plpp3,-1.2169096981799998,MHb,resilient
2348,Plp1,-2.07654053752,MHb,resilient
2338,Plcl1,-0.5987797110499999,MHb,resilient
2335,Plcb1,-1.392170144658,MHb,resilient
2332,Pkp4,-0.813035913726,MHb,resilient
2330,Pkm,-1.26994949812,MHb,resilient
2326,Pja2,-0.555757074574,MHb,resilient
2323,Pitpnc1,-1.57304021968,MHb,resilient
2321,Pitpna,-1.080274236882,MHb,resilient
2243,Pdcd4,-1.15944706774,MHb,resilient
2241,Pdap1,-1.67861342052,MHb,resilient
2382,Pop5,-1.68679202276,MHb,resilient
2239,Pcsk1n,-0.8483400170959999,MHb,resilient
2140,Nucks1,-1.35642637216,MHb,resilient
2135,Ntm,-0.388774499516,MHb,resilient
2127,Nsg1,-0.8850436364740001,MHb,resilient
2125,Nsf,-0.6012267436000001,MHb,resilient
2123,Nrxn3,-0.646534487036,MHb,resilient
2121,Nrxn1,-0.554796919212,MHb,resilient
2119,Nrsn1,-0.78172991998,MHb,resilient
2117,Nrn1,-1.053106147,MHb,resilient
2115,Nrgn,-1.86458787176,MHb,resilient
2114,Nrg3os,-0.656587563498,MHb,resilient
2113,Nrg3,-1.23183912034,MHb,resilient
2112,Nrg1,-0.62502641368,MHb,resilient
2108,Nr4a2,-0.695662880272,MHb,resilient
2101,Nppa,-1.5620080176,MHb,resilient
2100,Npm1,-1.2995173494799999,MHb,resilient
2097,Npas3,-1.72716273926,MHb,resilient
2094,Nop10,-2.41136562466,MHb,resilient
2092,Nol7,-1.7247922248999998,MHb,resilient
2089,Nnat,-1.3881307166799999,MHb,resilient
2087,Nmt1,-1.33820906436,MHb,resilient
2085,Nme7,-1.19339095338,MHb,resilient
2084,Nme1,-1.9943379337400002,MHb,resilient
2082,Nlgn1,-0.861082487964,MHb,resilient
2141,Nudc,-1.4964515584,MHb,resilient
2147,Nudt4,-1.075096945506,MHb,resilient
2157,Oaz1,-1.8904660873199999,MHb,resilient
2199,Pak1,-1.130118936996,MHb,resilient
2236,Pcp4,-2.75661946912,MHb,resilient
2235,Pcnp,-1.230387757176,MHb,resilient
2233,Pcmt1,-0.953731194512,MHb,resilient
2230,Pcdh9,-1.2570291600599999,MHb,resilient
2227,Pcdh15,-0.9122411219240001,MHb,resilient
2221,Pcbp1,-1.180021118502,MHb,resilient
2212,Park7,-1.82937565168,MHb,resilient
2206,Pam16,-1.41997535708,MHb,resilient
2205,Pam,-1.001235774628,MHb,resilient
2201,Pak2,-1.2989501564000001,MHb,resilient
2198,Paip2,-1.045597964316,MHb,resilient
2162,Ogdhl,-1.7312337839,MHb,resilient
2197,Paip1,-1.69785375016,MHb,resilient
2195,Pafah1b3,-1.8501994962600001,MHb,resilient
2194,Pafah1b2,-0.856672001236,MHb,resilient
2193,Pafah1b1,-1.073170078864,MHb,resilient
2185,Oxct1,-0.864381286018,MHb,resilient
2181,Otub1,-1.29376923664,MHb,resilient
2179,Ost4,-2.15743430566,MHb,resilient
2167,Olfm1,-0.606031845278,MHb,resilient
2166,Ola1,-1.148953278476,MHb,resilient
2165,Ogt,0.9835137890160001,MHb,resilient
2381,Pomp,-1.6237354686799998,MHb,resilient
2385,Pou3f1,-1.69010531152,MHb,resilient
2079,Nkiras1,-1.34654558255,MHb,resilient
2509,Psme1,-1.5772784927,MHb,resilient
2574,Rab6b,-0.873995913132,MHb,resilient
2573,Rab6a,-0.804185627102,MHb,resilient
2571,Rab5a,-1.0001035636239999,MHb,resilient
2567,Rab3a,-1.8353830498200001,MHb,resilient
2564,Rab2a,-1.41495876204,MHb,resilient
2560,Rab21,-1.12655598051,MHb,resilient
2559,Rab1a,-1.3705655985,MHb,resilient
2558,Rab18,-1.63916537724,MHb,resilient
2557,Rab14,-1.2940408992,MHb,resilient
2554,Rab11b,-1.056457661674,MHb,resilient
2552,Rab10,-0.770634730794,MHb,resilient
2548,Qk,-0.995000371012,MHb,resilient
2547,Qdpr,-1.088509403106,MHb,resilient
2543,Purb,-1.0306876262059999,MHb,resilient
2542,Pura,-0.685723674366,MHb,resilient
2535,Ptprs,0.669972542884,MHb,resilient
2529,Ptprd,-0.9242469025439999,MHb,resilient
2522,Ptp4a1,-1.30458173098,MHb,resilient
2521,Ptov1,-1.093696814714,MHb,resilient
2520,Ptn,-1.6443294921600002,MHb,resilient
2519,Ptms,-0.8362538832419999,MHb,resilient
2518,Ptma,-1.9873870017000002,MHb,resilient
2515,Ptges3,-1.76107437886,MHb,resilient
2575,Rab7,-1.000011494752,MHb,resilient
2577,Rabac1,-0.9854853579819999,MHb,resilient
2582,Rac1,-0.8597764372039999,MHb,resilient
2634,Reep5,-0.746021565164,MHb,resilient
2662,Rida,-1.39121264688,MHb,resilient
2661,Rian,29.3546603744,MHb,resilient
2659,Rhob,-1.3529146277600002,MHb,resilient
2658,Rhoa,-1.5017347247800001,MHb,resilient
2657,Rheb,-1.71035015938,MHb,resilient
2649,Rgs10,-1.9924624716,MHb,resilient
2643,Rexo2,-1.60380879408,MHb,resilient
2642,Rex1bd,-1.50050759724,MHb,resilient
2639,Resp18,-0.8218558993880001,MHb,resilient
2637,Rer1,-1.33336809646,MHb,resilient
2631,Rdx,-1.039094082652,MHb,resilient
2583,Rack1,-1.1612019189279998,MHb,resilient
2627,Rcan2,-0.5314471737900001,MHb,resilient
2626,Rbx1,-1.55488391446,MHb,resilient
2619,Rbm39,-0.5352861790019999,MHb,resilient
2612,Rbfox1,-1.190226380394,MHb,resilient
2597,Rap1b,-0.8563105215319999,MHb,resilient
2596,Rap1a,-1.1250908532380002,MHb,resilient
2593,Ranbp1,-1.6544174919199999,MHb,resilient
2592,Ran,-1.9200577843800002,MHb,resilient
2590,Ralyl,-0.881379291898,MHb,resilient
2588,Ralbp1,-0.829117887874,MHb,resilient
2514,Ptgds,-1.177433536454,MHb,resilient
2507,Psmd8,-1.6816914086199999,MHb,resilient
2387,Ppa1,-2.15989097758,MHb,resilient
2506,Psmd7,-1.32340889128,MHb,resilient
2459,Prnp,-0.7393233819220001,MHb,resilient
2457,Prmt1,-1.43100707246,MHb,resilient
2456,Prkg1,-0.702700344178,MHb,resilient
2453,Prkcq,-0.62965223207,MHb,resilient
2447,Prkar2a,-0.6727417065700001,MHb,resilient
2445,Prkar1a,-0.883804142358,MHb,resilient
2444,Prkacb,-0.645844854346,MHb,resilient
2443,Prkaca,-1.4270862595,MHb,resilient
2440,Prelid3b,-1.8448965903,MHb,resilient
2437,Prdx5,-1.7720392231999997,MHb,resilient
2435,Prdx2,-1.96205531972,MHb,resilient
2434,Prdx1,-1.79930328002,MHb,resilient
2426,Ppp3ca,-0.483836993558,MHb,resilient
2417,Ppp2r1a,-0.9739235937199999,MHb,resilient
2416,Ppp2ca,-1.241933627968,MHb,resilient
2413,Ppp1r2,-1.045843694902,MHb,resilient
2410,Ppp1r16b,-1.3231180517299999,MHb,resilient
2408,Ppp1r14a,-1.6446181814799998,MHb,resilient
2407,Ppp1r11,-1.60427769078,MHb,resilient
2405,Ppp1cb,-1.133196963708,MHb,resilient
2404,Ppp1ca,-1.3728965503,MHb,resilient
2393,Ppia,-2.17765414882,MHb,resilient
2390,Ppdpf,-1.58732753724,MHb,resilient
2467,Prr5l,-2.78008252262,MHb,resilient
2469,Prrc2c,-0.581431963182,MHb,resilient
2473,Psenen,-1.37542648594,MHb,resilient
2488,Psmb6,-1.9288363784599998,MHb,resilient
2505,Psmd6,-1.48443887206,MHb,resilient
2503,Psmd4,-1.152527443448,MHb,resilient
2499,Psmd12,-1.174837785038,MHb,resilient
2495,Psmc6,-0.9468333174900001,MHb,resilient
2494,Psmc5,-1.48693653092,MHb,resilient
2493,Psmc4,-1.124727164932,MHb,resilient
2492,Psmc3,-1.146602233416,MHb,resilient
2491,Psmc2,-1.44774961152,MHb,resilient
2490,Psmc1,-1.184792301398,MHb,resilient
2489,Psmb7,-1.38152571524,MHb,resilient
2487,Psmb5,-2.26055542896,MHb,resilient
2474,Psip1,-1.151720822478,MHb,resilient
2486,Psmb4,-1.7431567745,MHb,resilient
2485,Psmb3,-1.4887445689,MHb,resilient
2484,Psmb2,-1.3755454338,MHb,resilient
2482,Psmb1,-1.76162496764,MHb,resilient
2481,Psma7,-1.53324618438,MHb,resilient
2480,Psma6,-2.03179625632,MHb,resilient
2479,Psma5,-1.5464971764600002,MHb,resilient
2478,Psma4,-1.6156884451,MHb,resilient
2477,Psma3,-0.9666343683040001,MHb,resilient
2476,Psma2,-1.7064705241200002,MHb,resilient
2080,Nktr,0.900456541694,MHb,resilient
2076,Nkain2,-1.6649370232599998,MHb,resilient
1528,Impact,-1.201294167418,MHb,resilient
1727,Mag,-2.2709133307,MHb,resilient
1804,Med28,-2.0193562114200003,MHb,resilient
1796,Mdh2,-1.6162753931,MHb,resilient
1795,Mdh1,-1.9197958205999999,MHb,resilient
1794,Mdga2,-0.61382143132,MHb,resilient
1788,Mcee,-2.04879265228,MHb,resilient
1784,Mbnl2,-0.46374069393600004,MHb,resilient
1778,Matr3,-0.596984922514,MHb,resilient
1777,Mat2b,-1.6361747923,MHb,resilient
1776,Mast4,-1.44364784738,MHb,resilient
1774,Marcks,-1.127901381468,MHb,resilient
1770,March1,-1.87890422502,MHb,resilient
1768,Mapt,-0.552044062472,MHb,resilient
1767,Mapre3,-0.715566951804,MHb,resilient
1766,Mapre2,-0.849623718936,MHb,resilient
1755,Map7d2,-1.087574168558,MHb,resilient
1750,Map4,-0.860316333718,MHb,resilient
1746,Map1lc3b,-1.62891670444,MHb,resilient
1745,Map1lc3a,-1.83466585542,MHb,resilient
1744,Map1b,-0.890022469302,MHb,resilient
1743,Map1a,-0.801653675198,MHb,resilient
1737,Malat1,-0.6373968396899999,MHb,resilient
1736,Mal,-2.2416840060400003,MHb,resilient
1733,Magi2,-1.03894680398,MHb,resilient
1806,Med30,-1.6860950418799998,MHb,resilient
1809,Meg3,0.8723813611400001,MHb,resilient
1812,Metap2,-0.926826630024,MHb,resilient
1848,Morf4l1,-1.9656142838600001,MHb,resilient
1869,Mrpl17,-1.68084893338,MHb,resilient
1865,Mrpl12,-1.7423179752,MHb,resilient
1864,Mrpl11,-1.6902225002800002,MHb,resilient
1862,Mrfap1,-1.7814448927400002,MHb,resilient
1856,Mpp6,-0.45751853457400005,MHb,resilient
1854,Mphosph8,-0.930891992138,MHb,resilient
1853,Mpc2,-1.8192775240399999,MHb,resilient
1852,Mpc1,-1.37242318576,MHb,resilient
1850,Morn2,-1.94295818894,MHb,resilient
1849,Morf4l2,-1.023120777872,MHb,resilient
1847,Mog,-2.39415582748,MHb,resilient
1817,Mff,-0.763348591342,MHb,resilient
1845,Mobp,-0.415714904072,MHb,resilient
